model,manipulation,correct_position,correct_label,raw_accuracy,cal_accuracy,rows
Mistral,controlled_baseline,0,A,0.7213500784929356,0.4911695447409733,5096
Mistral,controlled_baseline,1,B,0.43807763401109057,0.500369685767098,5410
Mistral,controlled_baseline,2,C,0.4142148174406239,0.5363346331088267,5642
Mistral,controlled_baseline,3,D,0.3387657938106574,0.4956967588353781,5461
Mistral,label_only,0,B,0.21999212908303817,0.24065328610783157,5082
Mistral,label_only,0,C,0.33903974813065724,0.3396300669027942,5082
Mistral,label_only,0,D,0.2434081070444707,0.43722943722943725,5082
Mistral,label_only,1,A,0.8344469190794358,0.6002227171492205,5388
Mistral,label_only,1,C,0.31365998515219007,0.43392724573125463,5388
Mistral,label_only,1,D,0.2989977728285078,0.5055679287305123,5388
Mistral,label_only,2,A,0.8046875,0.6321022727272727,5632
Mistral,label_only,2,B,0.30078125,0.3821022727272727,5632
Mistral,label_only,2,D,0.3426846590909091,0.5271661931818182,5632
Mistral,label_only,3,A,0.8071979434447301,0.5754682335659199,5446
Mistral,label_only,3,B,0.23393316195372751,0.2892030848329049,5446
Mistral,label_only,3,C,0.21428571428571427,0.3564083731178847,5446
Mistral,position_only,0,B,0.21844840386043057,0.23812175204157388,5388
Mistral,position_only,0,C,0.33753551136363635,0.36292613636363635,5632
Mistral,position_only,0,D,0.2533969886154976,0.3991920675725303,5446
Mistral,position_only,1,A,0.8185753640299095,0.5785123966942148,5082
Mistral,position_only,1,C,0.31107954545454547,0.46040482954545453,5632
Mistral,position_only,1,D,0.27249357326478146,0.4990818949687844,5446
Mistral,position_only,2,A,0.7656434474616293,0.577922077922078,5082
Mistral,position_only,2,B,0.2858203414996288,0.4112843355605048,5388
Mistral,position_only,2,D,0.2860815277267719,0.5086301872934264,5446
Mistral,position_only,3,A,0.8087367178276269,0.546241637150728,5082
Mistral,position_only,3,B,0.2501855976243504,0.31198960653303637,5388
Mistral,position_only,3,C,0.2579900568181818,0.3828125,5632
Phi,controlled_baseline,0,A,0.4509419152276295,0.5019623233908949,5096
Phi,controlled_baseline,1,B,0.6578558225508317,0.5726432532347505,5410
Phi,controlled_baseline,2,C,0.608826657213754,0.5905707196029777,5642
Phi,controlled_baseline,3,D,0.5661966672770555,0.6323017762314594,5461
Phi,label_only,0,B,0.5304998032270759,0.48248720975993703,5082
Phi,label_only,0,C,0.5326643053915782,0.49094844549390004,5082
Phi,label_only,0,D,0.4443132624950807,0.45808736717827625,5082
Phi,label_only,1,A,0.5142910170749815,0.5766518188567187,5388
Phi,label_only,1,C,0.5367483296213809,0.5879732739420935,5388
Phi,label_only,1,D,0.4760579064587973,0.5942835931700075,5388
Phi,label_only,2,A,0.48384232954545453,0.45348011363636365,5632
Phi,label_only,2,B,0.6370738636363636,0.5415482954545454,5632
Phi,label_only,2,D,0.5246803977272727,0.5088778409090909,5632
Phi,label_only,3,A,0.5571061329416085,0.5526992287917738,5446
Phi,label_only,3,B,0.6366140286448769,0.5732647814910026,5446
Phi,label_only,3,C,0.536907822254866,0.5587587219977965,5446
Phi,position_only,0,B,0.5380475129918337,0.5033407572383074,5388
Phi,position_only,0,C,0.5122514204545454,0.494140625,5632
Phi,position_only,0,D,0.421226588321704,0.442159383033419,5446
Phi,position_only,1,A,0.5055096418732782,0.5527351436442346,5082
Phi,position_only,1,C,0.525390625,0.5944602272727273,5632
Phi,position_only,1,D,0.4676827029012119,0.5677561513037092,5446
Phi,position_only,2,A,0.49449035812672176,0.4946871310507674,5082
Phi,position_only,2,B,0.6317743132887899,0.5924276169265034,5388
Phi,position_only,2,D,0.4906353286816012,0.508079324274697,5446
Phi,position_only,3,A,0.5893349075167257,0.5436835891381346,5082
Phi,position_only,3,B,0.6399406087602079,0.5723830734966593,5388
Phi,position_only,3,C,0.5587713068181818,0.5333806818181818,5632
Qwen,controlled_baseline,0,A,0.28120094191522765,0.4001177394034537,5096
Qwen,controlled_baseline,1,B,0.4399260628465804,0.45970425138632165,5410
Qwen,controlled_baseline,2,C,0.4881247784473591,0.5423608649415101,5642
Qwen,controlled_baseline,3,D,0.6956601355063176,0.5431239699688701,5461
Qwen,label_only,0,B,0.31778827233372686,0.28886265249901616,5082
Qwen,label_only,0,C,0.457103502558048,0.32447855175127904,5082
Qwen,label_only,0,D,0.5517512790240063,0.2914207005116096,5082
Qwen,label_only,1,A,0.27134372680029695,0.6011507052709726,5388
Qwen,label_only,1,C,0.3348181143281366,0.4233481811432814,5388
Qwen,label_only,1,D,0.570898292501856,0.3266518188567186,5388
Qwen,label_only,2,A,0.29350142045454547,0.5459872159090909,5632
Qwen,label_only,2,B,0.3625710227272727,0.4122869318181818,5632
Qwen,label_only,2,D,0.6743607954545454,0.41352982954545453,5632
Qwen,label_only,3,A,0.31729709878810136,0.5420492104296731,5446
Qwen,label_only,3,B,0.3075651854572163,0.4473007712082262,5446
Qwen,label_only,3,C,0.5126698494307749,0.42948953360264414,5446
Qwen,position_only,0,B,0.2971417965850037,0.27301410541945065,5388
Qwen,position_only,0,C,0.4296875,0.3288352272727273,5632
Qwen,position_only,0,D,0.5203819316929856,0.2583547557840617,5446
Qwen,position_only,1,A,0.26898858717040536,0.457103502558048,5082
Qwen,position_only,1,C,0.3330965909090909,0.43519176136363635,5632
Qwen,position_only,1,D,0.5403966213734851,0.3127065736320235,5446
Qwen,position_only,2,A,0.31385281385281383,0.521448248720976,5082
Qwen,position_only,2,B,0.34669636228656275,0.46250927988121754,5388
Qwen,position_only,2,D,0.635145060594932,0.3903782592728608,5446
Qwen,position_only,3,A,0.3905942542306179,0.5336481700118064,5082
Qwen,position_only,3,B,0.3301781737193764,0.468634001484781,5388
Qwen,position_only,3,C,0.5392400568181818,0.47904829545454547,5632
