model,comparison,mean,ci_low,ci_high,n_clusters,n_rows,confidence_stratum
Mistral,label_only,-0.07199630287786049,-0.08489321412117519,-0.06012838342475986,1849,7198,high
Mistral,position_only,-0.0815738379962285,-0.09474103512266031,-0.06872509199882107,1849,7198,high
Mistral,label_only,-0.04642421506193963,-0.06187227562071627,-0.03042945194267552,2004,7170,low
Mistral,position_only,-0.047131728606279524,-0.06221681636726549,-0.030912498745894513,2004,7170,low
Mistral,label_only,-0.08910662134228445,-0.10237651061519791,-0.07560399272960878,2232,7180,medium
Mistral,position_only,-0.09676085936166583,-0.1118509258666629,-0.08155342386357173,2232,7180,medium
Phi,label_only,-0.035985219445818104,-0.043777790302301604,-0.028373775424783372,1637,7197,high
Phi,position_only,-0.04405222484025172,-0.054098626180941405,-0.03384365313694881,1637,7197,high
Phi,label_only,-0.043370986181529,-0.05976969560150669,-0.02796193776165073,1916,7166,low
Phi,position_only,-0.03646451215605707,-0.052901513017640386,-0.02096820943930811,1916,7166,low
Phi,label_only,-0.07298804193134091,-0.08410263812647835,-0.06130371895191484,2134,7185,medium
Phi,position_only,-0.07938324085231303,-0.09209073274472764,-0.06596899592389285,2134,7185,medium
Qwen,label_only,-0.075687981000481,-0.0871768390752766,-0.06462339729136606,1760,7203,high
Qwen,position_only,-0.09624000420875421,-0.11165637025012026,-0.08153609382515635,1760,7203,high
Qwen,label_only,-0.055768481199515704,-0.07116606334278751,-0.03975211197912349,1914,7155,low
Qwen,position_only,-0.06425807057990969,-0.08139513463866914,-0.047731142846085414,1914,7155,low
Qwen,label_only,-0.09471535928639879,-0.10854989408382511,-0.0805028376408313,2203,7190,medium
Qwen,position_only,-0.09814934901180931,-0.11280748414259537,-0.08357772710133131,2203,7190,medium
