model,manipulation,assignment,rows,raw_accuracy,cal_accuracy
Qwen,position_only,0,21562,0.3843799276504962,0.31393191726184955
Qwen,position_only,1,21570,0.3971256374594344,0.41557719054242004
Qwen,position_only,2,21558,0.44883569904443826,0.47907969199369144
Qwen,position_only,3,21563,0.49158280387701153,0.5055419004776701
Qwen,label_only,A,21562,0.29106761895928024,0.5243020128002969
Qwen,label_only,B,21570,0.35753361149745017,0.40394065832174314
Qwen,label_only,C,21558,0.4486965395676779,0.4327395862324891
Qwen,label_only,D,21563,0.6250057969670268,0.39586328432963874
Phi,position_only,0,21562,0.4812169557554958,0.4851590761524905
Phi,position_only,1,21570,0.5393602225312935,0.5724153917477979
Phi,position_only,2,21558,0.5577511828555525,0.5475925410520457
Phi,position_only,3,21563,0.588137086676251,0.570607058387052
Phi,label_only,A,21562,0.502179760690103,0.5207772933865134
Phi,label_only,B,21570,0.617060732498841,0.5434399629114511
Phi,label_only,C,21558,0.5546896743668244,0.5584005937471008
Phi,label_only,D,21563,0.5041042526550109,0.5495060984093122
Mistral,position_only,0,21562,0.3772377330488823,0.37120860773583153
Mistral,position_only,1,21570,0.4527584608252202,0.5080203987019007
Mistral,position_only,2,21558,0.43260042675572874,0.5078857036830875
Mistral,position_only,3,21563,0.4062978249779715,0.43222186152205166
Mistral,label_only,A,21562,0.7930618681012893,0.5765235135887209
Mistral,label_only,B,21570,0.29930458970792767,0.35498377375985163
Mistral,label_only,C,21558,0.3208553669171537,0.41891641154095927
Mistral,label_only,D,21563,0.30737837963177667,0.49260307007373744
