model,manipulation,scoring,rows,row_prediction_flip_rate,block_any_flip_rate,harm_rate,rescue_rate,net_accuracy_change
Qwen,position_only,raw,64644,0.4252212115586907,0.705169853350659,0.16890972093311057,0.10293298682012252,-0.06597673411298804
Qwen,position_only,cal,64644,0.46607573788750695,0.7330146649341006,0.1914640183156983,0.11137924633376647,-0.08008477198193181
Qwen,label_only,raw,64644,0.46899944310376834,0.7055411175051048,0.18125425406843637,0.11540127467359693,-0.06585297939483942
Qwen,label_only,cal,64644,0.4261339026050368,0.6604325227399295,0.16573850628055195,0.0999009962254811,-0.06583751005507088
Phi,position_only,raw,64644,0.31998329311304996,0.5436235381473918,0.1328352205927851,0.09060392302456531,-0.04223129756821975
Phi,position_only,cal,64644,0.33209578615184704,0.5544366066456283,0.13529484561598912,0.09250665181610049,-0.04278819379988863
Phi,label_only,raw,64644,0.28137182105067754,0.44004083905698904,0.11292618031062435,0.07456221768454922,-0.03836396262607511
Phi,label_only,cal,64644,0.28906008291566115,0.45614442175607944,0.11903656951921292,0.07502629787760659,-0.04401027164160631
Mistral,position_only,raw,64644,0.3518037250170163,0.5239929459810655,0.15296083163170596,0.07771796299733927,-0.07524286863436669
Mistral,position_only,cal,64644,0.43247633191015405,0.663866716168554,0.17362786956252707,0.10482024627188911,-0.06880762329063794
Mistral,label_only,raw,64644,0.5571128024255925,0.7589567477260071,0.19605841222696616,0.1380483880947961,-0.058010024132170046
Mistral,label_only,cal,64644,0.4460738815667347,0.6822442918136254,0.1699152280180682,0.10899696800940537,-0.060918260008662795
