model,confidence_stratum,manipulation,blocks,baseline_cal_accuracy,treatment_cal_accuracy,accuracy_change,mean_flip_rate
Mistral,high,position_only,7203,0.7266416770789949,0.6270723349078446,-0.09956934217115021,0.23867741039177548
Mistral,high,label_only,7203,0.7266416770789949,0.6484671668055942,-0.07817451027340061,0.20232471982958228
Mistral,low,position_only,7203,0.32694710537276134,0.29702463970246396,-0.029922465670297382,0.5924686192468619
Mistral,low,label_only,7203,0.32694710537276134,0.301487680148768,-0.02545942522399336,0.6550441655044165
Mistral,medium,position_only,7203,0.4656393169512703,0.3880222841225627,-0.07761703282870763,0.466991643454039
Mistral,medium,label_only,7203,0.4656393169512703,0.38579387186629527,-0.07984544508497504,0.4817548746518106
Phi,high,position_only,7203,0.8125780924614744,0.7693946551803992,-0.04318343728107521,0.10518271502014728
Phi,high,label_only,7203,0.8125780924614744,0.7764346255384188,-0.03614346692305559,0.06836181742392662
Phi,low,position_only,7203,0.358600583090379,0.34100846590380496,-0.017592117186574052,0.5527956088938506
Phi,low,label_only,7203,0.358600583090379,0.3300772164852544,-0.02852336660512461,0.5391199181319192
Phi,medium,position_only,7203,0.556018325697626,0.48865692414752954,-0.06736140155009646,0.33927163071213173
Phi,medium,label_only,7203,0.556018325697626,0.48884249594061696,-0.06717582975700903,0.2607283692878682
Qwen,high,position_only,7203,0.7041510481743718,0.591281410523393,-0.1128696376509788,0.2712295802674811
Qwen,high,label_only,7203,0.7041510481743718,0.6235364894257022,-0.08061455874866963,0.17252070896385766
Qwen,low,position_only,7204,0.31079955580233204,0.27155835080363383,-0.03924120499869821,0.6171907756813417
Qwen,low,label_only,7204,0.31079955580233204,0.27784765897973446,-0.03295189682259758,0.649895178197065
Qwen,medium,position_only,7202,0.45001388503193557,0.36179879462216036,-0.08821509040977521,0.5108947612424664
Qwen,medium,label_only,7202,0.45001388503193557,0.3659248956884562,-0.08408898934347936,0.4575336114974502
