model,confidence_stratum,manipulation,rows,prediction_flip_rate,harm_rate,rescue_rate,net_accuracy_change
Qwen,high,position_only,21609,0.2712295802674811,0.16377435327872647,0.0509047156277477,-0.1128696376509788
Qwen,low,position_only,21465,0.6171907756813417,0.19333799208013044,0.15406475658047986,-0.03927323549965056
Qwen,medium,position_only,21570,0.5108947612424664,0.2173388966156699,0.12948539638386647,-0.08785350023180344
Qwen,high,label_only,21609,0.17252070896385766,0.10805682817344625,0.027442269424776712,-0.08061455874866952
Qwen,low,label_only,21465,0.649895178197065,0.1967388772420219,0.16375494991847192,-0.03298392732354993
Qwen,medium,label_only,21570,0.45753361149745014,0.19267501159017153,0.10894761242466389,-0.08372739916550764
Phi,high,position_only,21591,0.10518271502014728,0.06437867630031031,0.02135148904636191,-0.043027187253948385
Phi,low,position_only,21498,0.5527956088938506,0.18313331472695135,0.16480602846776443,-0.018327286259186892
Phi,medium,position_only,21555,0.33927163071213173,0.15861749014149848,0.09167246578520065,-0.06694502435629779
Phi,high,label_only,21591,0.06836181742392664,0.04613033208281228,0.010143115186883423,-0.035987216895928875
Phi,low,label_only,21498,0.5391199181319193,0.1809935807982138,0.15173504512047634,-0.02925853567773745
Phi,medium,label_only,21555,0.26072836928786824,0.1302713987473904,0.06351194618418,-0.06675945256321036
Mistral,high,position_only,21594,0.23867741039177548,0.1434657775307956,0.04394739279429471,-0.09951838473650088
Mistral,low,position_only,21510,0.5924686192468619,0.18354253835425383,0.15406787540678754,-0.029474662947466312
Mistral,medium,position_only,21540,0.466991643454039,0.19396471680594243,0.11666666666666667,-0.07729805013927576
Mistral,high,label_only,21594,0.20232471982958228,0.11419838844123367,0.03607483560248217,-0.0781235528387515
Mistral,low,label_only,21510,0.6550441655044166,0.19767549976754997,0.17266387726638774,-0.025011622501162234
Mistral,medium,label_only,21540,0.4817548746518106,0.198050139275766,0.11852367688022285,-0.07952646239554317
