model,category,rate,blocks
Qwen,both_correct,0.2612783696155628,5641
Qwen,letter_only,0.2269569245020843,4900
Qwen,text_candidate_only,0.1287633163501621,2780
Qwen,neither,0.3830013895321908,8269
Phi,both_correct,0.46405743399722094,10019
Phi,letter_only,0.11194997684113016,2417
Phi,text_candidate_only,0.09031959240389069,1950
Phi,neither,0.33367299675775824,7204
Mistral,both_correct,0.4077350625289486,8803
Mistral,letter_only,0.09865678554886521,2130
Mistral,text_candidate_only,0.11959240389069013,2582
Mistral,neither,0.37401574803149606,8075
