model,analysis,estimate,ci_low,ci_high,items,conflict_items
Qwen,answer_conflict_sensitivity_position_only,0.21793885881853953,0.1997409471068072,0.23620849202919433,2401,1812.0
Qwen,correctness_conflict_sensitivity_position_only,0.12390641312888268,0.10664359231875938,0.13944842747641328,2401,1479.0
Qwen,answer_conflict_sensitivity_label_only,0.26674072672582416,0.2505811879764393,0.28337158862368095,2401,1812.0
Qwen,correctness_conflict_sensitivity_label_only,0.15440088451611683,0.13654592948135333,0.1720909234599653,2401,1479.0
Qwen,old_wrapper_degradation_vs_position_only_amplification_spearman,-0.058744634712774635,-0.07589852386672413,-0.03946432670392145,2401,
Qwen,old_wrapper_degradation_vs_label_only_amplification_spearman,-0.025121809192659706,-0.04286660639453986,-0.00778821003608505,2401,
Phi,answer_conflict_sensitivity_position_only,0.24680463812341938,0.23194435537256955,0.2620798007055377,2401,1574.0
Phi,correctness_conflict_sensitivity_position_only,0.15193213451630372,0.13497323225039126,0.16963625349030365,2401,1325.0
Phi,answer_conflict_sensitivity_label_only,0.2580112256672219,0.24536482332077117,0.2702640429301515,2401,1574.0
Phi,correctness_conflict_sensitivity_label_only,0.18100426672426395,0.16669229784138026,0.19618633889826934,2401,1325.0
Phi,old_wrapper_degradation_vs_position_only_amplification_spearman,-0.06804283995211696,-0.08987749430857486,-0.04655917541106398,2401,
Phi,old_wrapper_degradation_vs_label_only_amplification_spearman,-0.06753604031624412,-0.08747202636827654,-0.047710218976800306,2401,
Mistral,answer_conflict_sensitivity_position_only,0.23390215521817617,0.21496489243281167,0.254004649757065,2401,1892.0
Mistral,correctness_conflict_sensitivity_position_only,0.12294446642669704,0.10473755189368794,0.14167217373288277,2401,1582.0
Mistral,answer_conflict_sensitivity_label_only,0.3000286472410335,0.2826654629032557,0.31707700561531793,2401,1892.0
Mistral,correctness_conflict_sensitivity_label_only,0.1640662969589084,0.14486195732658996,0.18277388454948823,2401,1582.0
Mistral,old_wrapper_degradation_vs_position_only_amplification_spearman,-0.03633524057188979,-0.05420617320776873,-0.01755785188564556,2401,
Mistral,old_wrapper_degradation_vs_label_only_amplification_spearman,-0.07799770983200716,-0.09653951905978178,-0.058383598268484396,2401,
