model,wrapper_name,baseline_cal_accuracy,generated_exact_accuracy,candidate_total_accuracy,exact_any_candidate_rate,label_instead_of_text_rate
Qwen,csv_inline,0.4275,0.04,0.3958333333333333,0.09625,0.28583333333333333
Qwen,graphql_query,0.47811588161734053,0.1488120050020842,0.40100041684035015,0.3117965819091288,0.4372655273030429
Qwen,html_form,0.4975,0.045,0.3875,0.10916666666666666,0.79875
Qwen,ini_file,0.512510425354462,0.041701417848206836,0.39115929941618016,0.09549624687239366,0.5537948290241869
Qwen,key_equals,0.5243851604835348,0.03918299291371405,0.4164235097957482,0.08837015423092956,0.3443101292205085
Qwen,plain,0.5379482902418682,0.008340283569641367,0.4261884904086739,0.014595496246872394,0.9165971643035863
Qwen,protobuf_msg,0.4525,0.04833333333333333,0.3541666666666667,0.13583333333333333,0.61875
Qwen,shell_heredoc,0.48748957464553794,0.03461217681401168,0.3786488740617181,0.09007506255212677,0.6576313594662219
Qwen,toml_config,0.4762301918265221,0.04128440366972477,0.359466221851543,0.11551292743953294,0.6859883236030025
Phi,csv_inline,0.50375,0.34958333333333336,0.5429166666666667,0.60125,0.0825
Phi,graphql_query,0.5973322217590663,0.48353480616923716,0.5785744060025011,0.8140892038349312,0.1288036681950813
Phi,html_form,0.6025,0.20125,0.5775,0.36833333333333335,0.5545833333333333
Phi,ini_file,0.5929941618015012,0.08381984987489574,0.5508757297748124,0.15846538782318598,0.10967472894078399
Phi,key_equals,0.5639849937473947,0.33722384326802834,0.5593997498957899,0.60608586911213,0.04418507711546478
Phi,plain,0.6259382819015846,0.07464553794829024,0.6071726438698916,0.12510425354462051,0.8223519599666389
Phi,protobuf_msg,0.53375,0.14166666666666666,0.4791666666666667,0.295,0.3754166666666667
Phi,shell_heredoc,0.579232693911593,0.11301084236864054,0.5346121768140116,0.22143452877397832,0.6188490408673895
Phi,toml_config,0.5846538782318599,0.07339449541284404,0.5592160133444537,0.15262718932443703,0.12260216847372811
Mistral,csv_inline,0.46375,0.285,0.5216666666666666,0.51625,0.07416666666666667
Mistral,graphql_query,0.5110462692788662,0.1704877032096707,0.5298040850354314,0.32305127136306794,0.11879949979157982
Mistral,html_form,0.525,0.1175,0.5416666666666666,0.24666666666666667,0.6175
Mistral,ini_file,0.5350291909924938,0.18557130942452044,0.5412844036697247,0.34904086738949125,0.4070058381984987
Mistral,key_equals,0.5110462692788662,0.22842851187994997,0.5518966235931638,0.41475614839516467,0.1763234681117132
Mistral,plain,0.5325271059216014,0.323185988323603,0.567556296914095,0.5412844036697247,0.3577981651376147
Mistral,protobuf_msg,0.45166666666666666,0.10708333333333334,0.45125,0.24791666666666667,0.059166666666666666
Mistral,shell_heredoc,0.4845704753961635,0.13511259382819016,0.5129274395329442,0.24728940783986655,0.3648874061718098
Mistral,toml_config,0.5429524603836531,0.10467055879899917,0.5279399499582986,0.20642201834862386,0.1622185154295246
