model,wrapper_name,manipulation,baseline_cal_accuracy,treatment_cal_accuracy,cal_accuracy_change,cal_flip_rate,cal_harm_rate,cal_rescue_rate
Qwen,csv_inline,position_only,0.42809503959983325,0.2987355842712241,-0.12935945532860915,0.5498124218424344,0.23523690426566626,0.10587744893705711
Qwen,graphql_query,position_only,0.4797639123102867,0.41512085441259133,-0.06464305789769537,0.45882518268690275,0.17931422147273748,0.11467116357504216
Qwen,html_form,position_only,0.49770928779675133,0.3977509371095377,-0.09995835068721365,0.5718450645564348,0.239067055393586,0.13910870470637235
Qwen,ini_file,position_only,0.51228654727197,0.44231570179092045,-0.06997084548104954,0.4148271553519367,0.17006802721088435,0.1000971817298348
Qwen,key_equals,position_only,0.5243648479800084,0.44884076079411356,-0.07552408718589482,0.42843259752880747,0.18186866583368042,0.10634457864778564
Qwen,plain,position_only,0.5381091211995002,0.4563376370956546,-0.08177148410384555,0.3701235596279328,0.16673608218797722,0.0849645980841316
Qwen,protobuf_msg,position_only,0.4529734289329397,0.37326022775200335,-0.07971320118093633,0.501757345705047,0.19935329678054267,0.11964009559960635
Qwen,shell_heredoc,position_only,0.4872969596001666,0.4148271553519367,-0.07246980424822991,0.4950714979869499,0.19908371511870054,0.12661391087047064
Qwen,toml_config,position_only,0.47646813827571843,0.4292655837845342,-0.04720255449118421,0.40441482715535193,0.15243648479800084,0.1052339303068166
Qwen,csv_inline,label_only,0.42809503959983325,0.30276504098930107,-0.12532999861053218,0.6599972210643323,0.259691538140892,0.13436153953035987
Qwen,graphql_query,label_only,0.4797639123102867,0.4301573917931422,-0.04960652051714448,0.39376053962900504,0.14432265317594153,0.09471613265879708
Qwen,html_form,label_only,0.49770928779675133,0.4195474108010551,-0.07816187699569621,0.37817576009995835,0.16034985422740525,0.08218797723170901
Qwen,ini_file,label_only,0.51228654727197,0.4681382757184506,-0.04414827155351936,0.3280577537137304,0.12161599333610995,0.07746772178259059
Qwen,key_equals,label_only,0.5243648479800084,0.4541163404137165,-0.07024850756629186,0.39108704706372344,0.16076634735526865,0.09051783978897682
Qwen,plain,label_only,0.5381091211995002,0.464251006525059,-0.07385811467444114,0.45966958211856174,0.18839372483687353,0.11453561016243231
Qwen,protobuf_msg,label_only,0.4529734289329397,0.3906930971460706,-0.06228033178686909,0.47631097989596516,0.17868691128918882,0.1164065795023197
Qwen,shell_heredoc,label_only,0.4872969596001666,0.43356934610578923,-0.05372761349437738,0.40663612383729003,0.1572955712897404,0.10356795779536304
Qwen,toml_config,label_only,0.47646813827571843,0.4414827155351937,-0.03498542274052474,0.3419408579758434,0.12050534499514091,0.08551992225461613
Phi,csv_inline,position_only,0.503959983326386,0.39460886480477975,-0.10935111852160628,0.47978324301792413,0.21328331249131582,0.1039321939697096
Phi,graphql_query,position_only,0.5986509274873525,0.5557897695334457,-0.04286115795390677,0.3116919617762788,0.13139404159640247,0.08853288364249579
Phi,html_form,position_only,0.6022490628904623,0.5662918228515896,-0.035957240038872684,0.3107038733860891,0.12897403859502984,0.09301679855615716
Phi,ini_file,position_only,0.5930862140774678,0.5558794946550049,-0.0372067194224629,0.27155351936693045,0.11411911703456892,0.07691239761210607
Phi,key_equals,position_only,0.563515201999167,0.5367208107732889,-0.026794391225878122,0.3595724003887269,0.13674857698181314,0.10995418575593503
Phi,plain,position_only,0.6255726780508122,0.5865611550742746,-0.03901152297653754,0.2911286963765098,0.1209218381230043,0.08191031514646675
Phi,protobuf_msg,position_only,0.5347954449599325,0.4961338394488964,-0.03866160551103609,0.3776184451005202,0.14382117250105442,0.10515956699001827
Phi,shell_heredoc,position_only,0.578508954602249,0.553797029015688,-0.0247119255865611,0.30348465916979034,0.11620158267388588,0.09148965708732472
Phi,toml_config,position_only,0.5843398583923365,0.553797029015688,-0.03054282937664854,0.28377065111758987,0.11231431348049424,0.08177148410384562
Phi,csv_inline,label_only,0.503959983326386,0.3771015700986522,-0.12685841322773383,0.5284146172016118,0.23398638321522858,0.10712796998749478
Phi,graphql_query,label_only,0.5986509274873525,0.5625351320966835,-0.036115795390669,0.2195053400786959,0.09499718943226532,0.058881394041596403
Phi,html_form,label_only,0.6022490628904623,0.5696237678744968,-0.03262529501596556,0.22726641677078996,0.09607108149382201,0.06344578647785645
Phi,ini_file,label_only,0.5930862140774678,0.5568513119533528,-0.036234902124114954,0.2492017215049285,0.102457309454394,0.06622240733027905
Phi,key_equals,label_only,0.563515201999167,0.5363043176454255,-0.027210884353741527,0.26280716368179924,0.10259614049701513,0.07538525614327364
Phi,plain,label_only,0.6255726780508122,0.5789254477301125,-0.04664723032069973,0.25891989448840763,0.11050950992641954,0.06386227960571984
Phi,protobuf_msg,label_only,0.5347954449599325,0.49514972585407,-0.039645719105862454,0.3291157036412203,0.1263883031069872,0.0867425840011247
Phi,shell_heredoc,label_only,0.578508954602249,0.5424128835207552,-0.03609607108149382,0.3215326947105373,0.12730806608357628,0.09121199500208246
Phi,toml_config,label_only,0.5843398583923365,0.5697625989171179,-0.014577259475218596,0.20463695682354574,0.07691239761210607,0.06233513813688741
Mistral,csv_inline,position_only,0.46352646936223424,0.33680700291788246,-0.12671946644435178,0.5368903709879116,0.23759899958315964,0.11087953313880784
Mistral,graphql_query,position_only,0.5122259696458684,0.43296795952782463,-0.07925801011804379,0.4406970207982012,0.17987633501967398,0.10061832490163013
Mistral,html_form,position_only,0.5251978342357351,0.4305150631681244,-0.0946827710676107,0.44842426766625015,0.19075385256143274,0.09607108149382201
Mistral,ini_file,position_only,0.5351936693044564,0.4979869498819936,-0.03720671942246284,0.37345550465083993,0.13813688740802443,0.10093016798556158
Mistral,key_equals,position_only,0.5110370678883799,0.45022907122032485,-0.06080799666805503,0.4227405247813411,0.1697903651256421,0.10898236845758712
Mistral,plain,position_only,0.5322782174094127,0.4721643759544634,-0.0601138414549493,0.4148271553519367,0.16479244759128142,0.10467860613633208
Mistral,protobuf_msg,position_only,0.4500210881484606,0.401940109658372,-0.04808097849008858,0.47096864895262197,0.16589343455644595,0.11781245606635737
Mistral,shell_heredoc,position_only,0.48438150770512284,0.41232819658475633,-0.0720533111203665,0.4042759961127308,0.16715257531584063,0.09509926419547411
Mistral,toml_config,position_only,0.5431070387338609,0.5028460363737332,-0.04026100236012775,0.3806747188671387,0.14868804664723032,0.10842704428710259
Mistral,csv_inline,label_only,0.46352646936223424,0.33930804501875783,-0.12421842434347641,0.6516604140614145,0.2669167708767542,0.14269834653327776
Mistral,graphql_query,label_only,0.5122259696458684,0.4565767284991568,-0.0556492411467116,0.45320404721753793,0.1703204047217538,0.11467116357504216
Mistral,html_form,label_only,0.5251978342357351,0.44731361932528113,-0.07788421491045394,0.46078023045953076,0.18617242815493545,0.10828821324448147
Mistral,ini_file,label_only,0.5351936693044564,0.5010412328196585,-0.03415243648479793,0.3254199639039289,0.12258781063445787,0.08843537414965986
Mistral,key_equals,label_only,0.5110370678883799,0.45425517145633765,-0.056781896432042234,0.44592530889906984,0.17020685825350548,0.11342496182146328
Mistral,plain,label_only,0.5322782174094127,0.48271553519366933,-0.04956268221574339,0.4039983340274885,0.15326947105372762,0.10370678883798418
Mistral,protobuf_msg,label_only,0.4500210881484606,0.4032053985660059,-0.04681568958245469,0.4677351328553353,0.16083227892591032,0.11401658934345564
Mistral,shell_heredoc,label_only,0.48438150770512284,0.4249618214632792,-0.05941968624184363,0.5211717339997224,0.18728307649590448,0.12786339025406082
Mistral,toml_config,label_only,0.5431070387338609,0.49951409135082603,-0.043592947383034875,0.28529779258642235,0.1116201582673886,0.06802721088435375
