model,comparison,mean,ci_low,ci_high,n_clusters,n_rows
Mistral,generated_text_minus_baseline_cal_descriptive,-0.32241195798047106,-0.33597112314313476,-0.3091281410523393,2401,21609
Mistral,generated_text_minus_baseline_raw_descriptive,-0.2895552778934703,-0.30283678097089173,-0.27497570456754133,2401,21609
Mistral,label_only_minus_baseline_cal,-0.060829482424651124,-0.06876024705314587,-0.05287686017069609,2401,21548
Mistral,label_only_minus_baseline_raw,-0.058010716434289976,-0.070040935875484,-0.04554547240016839,2401,21548
Mistral,position_only_minus_baseline_cal,-0.0686987785071917,-0.07838301501358563,-0.05950295732157458,2401,21548
Mistral,position_only_minus_baseline_raw,-0.07520951367265405,-0.08431185115769665,-0.0663239757354189,2401,21548
Mistral,wrapper_amplification_generated_text_readout_cal_descriptive,-0.12703040399833404,-0.1478029987505206,-0.10672636401499375,2401,19208
Mistral,wrapper_amplification_generated_text_readout_raw_descriptive,-0.1284881299458559,-0.1489496563931695,-0.1087034048313203,2401,19208
Mistral,wrapper_amplification_label_only_cal,-0.012703040399833396,-0.02772778207492909,0.00306017086134745,2401,19147
Mistral,wrapper_amplification_label_only_raw,-0.0023204617123817463,-0.015772879851649116,0.012343195295610943,2401,19147
Mistral,wrapper_amplification_position_only_cal,-0.009656194839451815,-0.0255825325757125,0.006375443763511226,2401,19147
Mistral,wrapper_amplification_position_only_raw,0.005355738019211571,-0.008794430065515032,0.019586973516325868,2401,19147
Phi,generated_text_minus_baseline_cal_descriptive,-0.3693831274006201,-0.3829931972789115,-0.3548509880142533,2401,21609
Phi,generated_text_minus_baseline_raw_descriptive,-0.3667453375908187,-0.38113748900920913,-0.35235318617242817,2401,21609
Phi,label_only_minus_baseline_cal,-0.04384085995914402,-0.05030513906242771,-0.03746381165034852,2401,21548
Phi,label_only_minus_baseline_raw,-0.03831654138817822,-0.04578049352231985,-0.03125126710872235,2401,21548
Phi,position_only_minus_baseline_cal,-0.04266878439098349,-0.05084098143630632,-0.03427955365819799,2401,21548
Phi,position_only_minus_baseline_raw,-0.04210271734220091,-0.05097642434038729,-0.033242528465872924,2401,21548
Phi,wrapper_amplification_generated_text_readout_cal_descriptive,0.20434194085797586,0.18658892128279883,0.2215756455643482,2401,19208
Phi,wrapper_amplification_generated_text_readout_raw_descriptive,0.20918367346938777,0.19189400249895877,0.22647594752186587,2401,19208
Phi,wrapper_amplification_label_only_cal,0.003199724982315568,-0.010084298539629654,0.016735999550451852,2401,19147
Phi,wrapper_amplification_label_only_raw,-0.004036843114310839,-0.017085845514104577,0.008417251740346276,2401,19147
Phi,wrapper_amplification_position_only_cal,-0.004083946503771579,-0.018843463041193154,0.010798575990162809,2401,19147
Phi,wrapper_amplification_position_only_raw,0.0030947753250960223,-0.010446932660333327,0.016117437013678137,2401,19147
Qwen,generated_text_minus_baseline_cal_descriptive,-0.438659817668564,-0.45411749733907164,-0.4233884029802397,2401,21609
Qwen,generated_text_minus_baseline_raw_descriptive,-0.430052293026054,-0.4462515618492295,-0.4142718311814522,2401,21609
Qwen,label_only_minus_baseline_cal,-0.06569270079265915,-0.07350244276524993,-0.05792984872925525,2401,21548
Qwen,label_only_minus_baseline_raw,-0.06578525482107325,-0.07667336856997417,-0.05497895910874881,2401,21548
Qwen,position_only_minus_baseline_cal,-0.07994326658424952,-0.09014440769829152,-0.06981798671849694,2401,21548
Qwen,position_only_minus_baseline_raw,-0.06585825130181651,-0.07481182746827272,-0.05702275727265316,2401,21548
Qwen,wrapper_amplification_generated_text_readout_cal_descriptive,0.10250937109537693,0.0868375156184923,0.11891269262807162,2401,19208
Qwen,wrapper_amplification_generated_text_readout_raw_descriptive,0.10797584339858392,0.09381117242815494,0.12208584964598083,2401,19208
Qwen,wrapper_amplification_label_only_cal,0.009143015806905854,-0.007686033597112313,0.02668357430435731,2401,19147
Qwen,wrapper_amplification_label_only_raw,-0.009688423474346008,-0.024033450843894407,0.004822333452331365,2401,19147
Qwen,wrapper_amplification_position_only_cal,0.0020551952559449403,-0.013453471767715837,0.016828305666289838,2401,19147
Qwen,wrapper_amplification_position_only_raw,0.005111130944117198,-0.0097827335501742,0.019873643091833426,2401,19147
