condition,anchor,layer,n_items,n_rows,n_positions,patched_accuracy,mean_margin_improvement,mean_recovery,donor_item_equals_target_rate,same_label_rate
cross_item_clean_to_corrupt,all_option_ends,2,285,285,4.0,0.1368421052631579,0.9405701754385964,0.1746008327907066,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,2,285,285,4.0,0.16140350877192983,0.8296052631578947,0.15502687178220617,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,2,285,285,4.0,0.0456140350877193,0.24451754385964913,0.046261777788291,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,2,285,285,4.0,0.18947368421052632,1.0004385964912281,0.18613119235776152,0.0,1.0
vanilla_to_corrupt,all_option_ends,2,285,285,4.0,0.028070175438596492,0.1730263157894737,0.030800008299308495,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,4,285,285,4.0,0.14035087719298245,0.8881578947368421,0.16871598435991755,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,4,285,285,4.0,0.15789473684210525,0.8008771929824562,0.14347215864046556,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,4,285,285,4.0,0.042105263157894736,0.28771929824561404,0.05618817932937675,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,4,285,285,4.0,0.20350877192982456,1.0133771929824562,0.1838221008043917,0.0,1.0
vanilla_to_corrupt,all_option_ends,4,285,285,4.0,0.03859649122807018,0.18596491228070175,0.03640012746666699,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,6,285,285,4.0,0.11929824561403508,0.7515350877192982,0.14193827366623496,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,6,285,285,4.0,0.1649122807017544,0.774780701754386,0.14250225484252535,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,6,285,285,4.0,0.056140350877192984,0.30350877192982456,0.064377990225818,1.0,1.0
same_label_cross_item_clean_to_corrupt,all_option_ends,6,285,285,4.0,0.1649122807017544,0.9324561403508772,0.16716017563060992,0.0,1.0
vanilla_to_corrupt,all_option_ends,6,285,285,4.0,0.042105263157894736,0.19078947368421054,0.039997414969111134,1.0,1.0
cross_item_clean_to_corrupt,all_option_ends,8,285,285,4.0,0.13333333333333333,0.7107456140350877,0.13289357507193567,0.0,0.21754385964912282
different_label_cross_item_clean_to_corrupt,all_option_ends,8,285,285,4.0,0.15087719298245614,0.7092105263157895,0.13820786442286395,0.0,0.0
same_item_clean_to_corrupt,all_option_ends,8,285,285,4.0,0.07719298245614035,0.2850877192982456,0.05980296207392064,1.0,1.0
